trade_rows,executed_trades,abstains,unique_events,wins,losses,hit_rate,total_net_pnl,mean_net_pnl,median_net_pnl,std_net_pnl,min_net_pnl,max_net_pnl,total_stake,aggregate_roi_on_stake,avg_entry_yes,avg_history_points,breakdown,venue,entry_year,month,quarter,side,category,entry_yes_bin
14.0,10.0,4.0,10.0,9.0,0.0,0.9,0.2529992222626973,0.025299922226269728,0.013000000000000001,0.02199526160917859,0.0,0.06,9.747,0.025956624834584722,0.3941,13.6,venue_year,POLYMARKET,2023.0,,,,,
35.0,26.0,9.0,26.0,25.0,1.0,0.9615384615384616,1.5674999999999986,0.060288461538461485,0.06049999999999995,0.19500893174810857,-0.79,0.25,23.4325,0.06689427077776586,0.1485192307692308,14.0,venue_year,POLYMARKET,2024.0,,,,,
446.0,261.0,185.0,261.0,216.0,45.0,0.8275862068965517,5.148499999999991,0.01972605363984671,0.17,0.36781817551838575,-0.915,0.3399999999999999,210.85150000000002,0.024417658873662228,0.6593467432950191,10.118773946360154,venue_year,POLYMARKET,2025.0,,,,,
940.0,566.0,374.0,566.0,459.0,107.0,0.8109540636042403,-1.3655000000000168,-0.002412544169611337,0.145,0.3806252760196308,-0.9565,0.35,460.3655,-0.0029661214839079315,0.7041404593639576,10.49469964664311,venue_year,POLYMARKET,2026.0,,,,,
6.0,3.0,3.0,3.0,2.0,1.0,0.6666666666666666,-0.3100000000000002,-0.1033333333333334,0.1049999999999999,0.5292053791613738,-0.7050000000000001,0.29,2.31,-0.1341991341991343,0.6333333333333333,36.666666666666664,month,,,2021-07,,,,
4.0,0.0,4.0,0.0,0.0,0.0,,0.0,,,,,,,,,,month,,,2021-08,,,,
6.0,0.0,6.0,0.0,0.0,0.0,,0.0,,,,,,,,,,month,,,2021-09,,,,
9.0,4.0,5.0,4.0,4.0,0.0,1.0,0.4049999999999999,0.10124999999999998,0.08249999999999995,0.07608931155775646,0.035,0.205,3.5949999999999998,0.11265646731571625,0.67625,55.0,month,,,2021-10,,,,
4.0,1.0,3.0,1.0,1.0,0.0,1.0,0.06,0.06,0.06,,0.06,0.06,0.94,0.06382978723404255,0.94,28.0,month,,,2021-11,,,,
6.0,1.0,5.0,1.0,1.0,0.0,1.0,0.3349999999999999,0.3349999999999999,0.3349999999999999,,0.3349999999999999,0.3349999999999999,0.665,0.5037593984962404,0.335,10.0,month,,,2021-12,,,,
7.0,4.0,3.0,4.0,2.0,2.0,0.5,-1.6349999999999998,-0.40874999999999995,-0.39499999999999996,0.5791139064697606,-0.99,0.145,3.6350000000000002,-0.44979367262723513,0.9087500000000001,63.5,month,,,2022-01,,,,
5.0,2.0,3.0,2.0,2.0,0.0,1.0,0.3849999999999999,0.19249999999999995,0.19249999999999995,0.1520279579551078,0.0849999999999999,0.3,1.615,0.23839009287925692,0.8075,53.0,month,,,2022-02,,,,
4.0,1.0,3.0,1.0,1.0,0.0,1.0,0.28,0.28,0.28,,0.28,0.28,0.72,0.38888888888888895,0.28,31.0,month,,,2022-03,,,,
7.0,4.0,3.0,4.0,3.0,1.0,0.75,-0.4250000000000001,-0.10625000000000002,0.05249999999999995,0.4747170209714415,-0.8,0.27,3.425,-0.12408759124087594,0.85625,57.5,month,,,2022-04,,,,
5.0,1.0,4.0,1.0,1.0,0.0,1.0,0.035,0.035,0.035,,0.035,0.035,0.965,0.036269430051813475,0.965,121.0,month,,,2022-05,,,,
