label,bin,bin_left,bin_right,n,mean_predicted_yes,mean_realized_yes,calibration_gap,abs_gap
POLYMARKET,8,0.8,0.9,290,0.8428137931034483,0.8724137931034482,0.02959999999999996,0.02959999999999996
POLYMARKET,9,0.9,1.0,80,0.923,0.8875,-0.03550000000000009,0.03550000000000009
YEAR:2021,0,0.0,0.1,1,0.055,0.0,-0.055,0.055
YEAR:2021,2,0.2,0.30000000000000004,1,0.295,1.0,0.7050000000000001,0.7050000000000001
YEAR:2021,3,0.30000000000000004,0.4,3,0.36166666666666664,0.3333333333333333,-0.02833333333333332,0.02833333333333332
YEAR:2021,4,0.4,0.5,12,0.43916666666666665,0.3333333333333333,-0.10583333333333333,0.10583333333333333
YEAR:2021,5,0.5,0.6000000000000001,10,0.533,0.7,0.16699999999999993,0.16699999999999993
YEAR:2021,6,0.6000000000000001,0.7000000000000001,2,0.62,1.0,0.38,0.38
YEAR:2021,7,0.7000000000000001,0.8,2,0.7525,1.0,0.24750000000000005,0.24750000000000005
YEAR:2021,8,0.8,0.9,2,0.8925000000000001,1.0,0.10749999999999993,0.10749999999999993
YEAR:2021,9,0.9,1.0,2,0.9524999999999999,1.0,0.0475000000000001,0.0475000000000001
YEAR:2022,2,0.2,0.30000000000000004,2,0.2425,0.0,-0.2425,0.2425
YEAR:2022,3,0.30000000000000004,0.4,3,0.3316666666666666,0.6666666666666666,0.335,0.335
YEAR:2022,4,0.4,0.5,8,0.45374999999999993,0.625,0.17125000000000007,0.17125000000000007
YEAR:2022,5,0.5,0.6000000000000001,24,0.5347916666666667,0.375,-0.15979166666666667,0.15979166666666667
YEAR:2022,6,0.6000000000000001,0.7000000000000001,3,0.69,1.0,0.31000000000000005,0.31000000000000005
YEAR:2022,7,0.7000000000000001,0.8,4,0.73875,0.75,0.011249999999999982,0.011249999999999982
YEAR:2022,8,0.8,0.9,7,0.8449999999999999,0.5714285714285714,-0.27357142857142847,0.27357142857142847
YEAR:2022,9,0.9,1.0,11,0.95,0.9090909090909091,-0.040909090909090895,0.040909090909090895
YEAR:2023,0,0.0,0.1,8,0.015875,9.721716282987028e-08,-0.01587490278283717,0.01587490278283717
YEAR:2023,1,0.1,0.2,1,0.13,0.0,-0.13,0.13
YEAR:2023,2,0.2,0.30000000000000004,2,0.28500000000000003,0.5,0.21499999999999997,0.21499999999999997
YEAR:2023,4,0.4,0.5,1,0.41,0.0,-0.41,0.41
YEAR:2023,5,0.5,0.6000000000000001,5,0.511,0.5999997001303577,0.08899970013035774,0.08899970013035774
YEAR:2023,8,0.8,0.9,3,0.8883333333333333,1.0,0.11166666666666669,0.11166666666666669
YEAR:2023,9,0.9,1.0,19,0.9699473684210523,1.0,0.030052631578947664,0.030052631578947664
YEAR:2024,0,0.0,0.1,25,0.02858,0.0,-0.02858,0.02858
YEAR:2024,1,0.1,0.2,6,0.1475,0.0,-0.1475,0.1475
YEAR:2024,2,0.2,0.30000000000000004,5,0.227,0.2,-0.026999999999999996,0.026999999999999996
YEAR:2024,3,0.30000000000000004,0.4,3,0.3666666666666667,0.6666666666666666,0.29999999999999993,0.29999999999999993
YEAR:2024,4,0.4,0.5,2,0.4525,0.0,-0.4525,0.4525
YEAR:2024,5,0.5,0.6000000000000001,5,0.55,0.2,-0.35000000000000003,0.35000000000000003
YEAR:2024,7,0.7000000000000001,0.8,1,0.75,1.0,0.25,0.25
YEAR:2024,8,0.8,0.9,3,0.859,0.6666666666666666,-0.19233333333333336,0.19233333333333336
YEAR:2024,9,0.9,1.0,16,0.9803125,1.0,0.01968749999999997,0.01968749999999997
YEAR:2025,0,0.0,0.1,139,0.03575899280575539,0.007194244604316547,-0.028564748201438842,0.028564748201438842
YEAR:2025,1,0.1,0.2,23,0.13769565217391305,0.17391304347826086,0.03621739130434781,0.03621739130434781
YEAR:2025,2,0.2,0.30000000000000004,14,0.2536785714285714,0.14285714285714285,-0.11082142857142857,0.11082142857142857
YEAR:2025,3,0.30000000000000004,0.4,20,0.36675,0.5,0.13324999999999998,0.13324999999999998
YEAR:2025,4,0.4,0.5,48,0.4683333333333333,0.7291666666666666,0.2608333333333333,0.2608333333333333
YEAR:2025,5,0.5,0.6000000000000001,115,0.5233043478260869,0.7391304347826086,0.21582608695652172,0.21582608695652172
YEAR:2025,6,0.6000000000000001,0.7000000000000001,46,0.653695652173913,0.6086956521739131,-0.04499999999999993,0.04499999999999993
YEAR:2025,7,0.7000000000000001,0.8,98,0.7556632653061225,0.7831632653061225,0.02749999999999997,0.02749999999999997
