feature_a,feature_b,n_overlap,spearman_rho,pearson_r,abs_spearman,near_duplicate_flag,high_overlap_flag
max_hourly_jump_24h,signed_notional_imbalance,115,-0.08591687,-0.20825017,0.08591687,false,false
hourly_realized_scale_24h,signed_count_imbalance,115,-0.08589016,-0.17273992,0.08589016,false,false
log_total_notional,max_hourly_jump_24h,115,0.08512548,0.01626468,0.08512548,false,false
max_hourly_jump_24h,total_collateral_notional,115,0.08512548,-0.04046522,0.08512548,false,false
log_trade_count,sign_consistency_1_6_24h,113,-0.08357568,-0.09154365,0.08357568,false,false
sign_consistency_1_6_24h,trade_count,113,-0.08357568,0.01086102,0.08357568,false,false
large_trade_share_top_decile,signed_count_imbalance,115,-0.08306994,-0.16565028,0.08306994,false,false
path_roughness_24h,signed_count_imbalance,115,-0.08283645,-0.15641785,0.08283645,false,false
large_trade_share_top_decile,vol_scaled_delta_6h,113,0.08210315,0.06410901,0.08210315,false,false
path_roughness_24h,signed_notional_imbalance,115,-0.08114187,-0.21798805,0.08114187,false,false
path_roughness_24h,top_wallet_notional_share,115,0.07848491,0.12431358,0.07848491,false,false
sign_consistency_1_6_24h,wallet_hhi_notional,113,0.07766773,0.09342123,0.07766773,false,false
delta_6h,large_trade_share_top_decile,115,0.07687989,0.03417745,0.07687989,false,false
large_trade_share_top_decile,velocity_6h_per_hour,115,0.07687989,0.03417745,0.07687989,false,false
cusum_proxy_24h,wallet_hhi_notional,115,0.07501410,0.13269526,0.07501410,false,false
delta_1h,top_wallet_notional_share,115,-0.07447987,0.03927479,0.07447987,false,false
log_wallet_count,signed_notional_imbalance,115,-0.07402775,-0.00703187,0.07402775,false,false
signed_notional_imbalance,wallet_count,115,-0.07402775,0.08713948,0.07402775,false,false
delta_24h,hourly_realized_scale_24h,113,-0.07387557,-0.05972383,0.07387557,false,false
log_total_notional,signed_count_imbalance,115,-0.07380882,-0.12293185,0.07380882,false,false
signed_count_imbalance,total_collateral_notional,115,-0.07380882,-0.09499299,0.07380882,false,false
log_wallet_count,sign_consistency_1_6_24h,113,-0.07081348,-0.09016001,0.07081348,false,false
sign_consistency_1_6_24h,wallet_count,113,-0.07081348,0.02519528,0.07081348,false,false
sign_consistency_1_6_24h,signed_count_imbalance,113,-0.06997056,-0.09785427,0.06997056,false,false
hourly_realized_scale_24h,wallet_hhi_notional,115,0.06979868,0.17397498,0.06979868,false,false
log_trade_count,vol_scaled_delta_6h,113,-0.06880707,-0.09212384,0.06880707,false,false
trade_count,vol_scaled_delta_6h,113,-0.06880707,0.00612236,0.06880707,false,false
log_total_notional,same_side_transition_share,115,-0.06683896,-0.17454120,0.06683896,false,false
same_side_transition_share,total_collateral_notional,115,-0.06683896,0.07576596,0.06683896,false,false
hourly_realized_scale_24h,log_trade_count,115,0.06466689,-0.02745493,0.06466689,false,false
hourly_realized_scale_24h,trade_count,115,0.06466689,-0.02067225,0.06466689,false,false
max_run_share,sign_consistency_1_6_24h,113,0.05978959,0.05076178,0.05978959,false,false
delta_24h,max_hourly_jump_24h,113,-0.05945844,-0.02806947,0.05945844,false,false
delta_24h,path_roughness_24h,113,-0.05874190,-0.03242988,0.05874190,false,false
sign_consistency_1_6_24h,top_wallet_notional_share,113,0.05867114,0.05952986,0.05867114,false,false
delta_6h,max_hourly_jump_24h,115,0.05689909,-0.07585333,0.05689909,false,false
max_hourly_jump_24h,velocity_6h_per_hour,115,0.05689909,-0.07585333,0.05689909,false,false
cusum_proxy_24h,log_trade_count,115,0.05689761,-0.02787333,0.05689761,false,false
cusum_proxy_24h,trade_count,115,0.05689761,-0.03298183,0.05689761,false,false
delta_6h,same_side_transition_share,115,-0.05636374,-0.02880243,0.05636374,false,false
same_side_transition_share,velocity_6h_per_hour,115,-0.05636374,-0.02880243,0.05636374,false,false
delta_1h,wallet_hhi_notional,115,-0.05580792,0.07996974,0.05580792,false,false
log_wallet_count,vol_scaled_delta_6h,113,-0.05575194,-0.08890091,0.05575194,false,false
vol_scaled_delta_6h,wallet_count,113,-0.05575194,0.02712827,0.05575194,false,false
max_run_share,price_last,115,0.05565379,0.09253776,0.05565379,false,false
delta_1h,large_trade_share_top_decile,115,-0.05389181,-0.07721881,0.05389181,false,false
vol_scaled_delta_6h,wallet_hhi_notional,113,0.05282757,0.06925637,0.05282757,false,false
log_trade_count,signed_count_imbalance,115,-0.05270261,-0.03330932,0.05270261,false,false
signed_count_imbalance,trade_count,115,-0.05270261,0.01033608,0.05270261,false,false
path_roughness_24h,wallet_hhi_notional,115,0.05161570,0.12013361,0.05161570,false,false
delta_6h,path_roughness_24h,115,0.05055559,0.00807509,0.05055559,false,false
path_roughness_24h,velocity_6h_per_hour,115,0.05055559,0.00807509,0.05055559,false,false
log_trade_count,same_side_transition_share,115,-0.04929912,-0.09750882,0.04929912,false,false
same_side_transition_share,trade_count,115,-0.04929912,0.05566775,0.04929912,false,false
delta_6h,signed_notional_imbalance,115,0.04928173,0.02800033,0.04928173,false,false
signed_notional_imbalance,velocity_6h_per_hour,115,0.04928173,0.02800033,0.04928173,false,false
cusum_proxy_24h,delta_6h,115,0.04911889,-0.06513843,0.04911889,false,false
cusum_proxy_24h,velocity_6h_per_hour,115,0.04911889,-0.06513843,0.04911889,false,false
large_trade_share_top_decile,sign_consistency_1_6_24h,113,0.04591545,0.03674987,0.04591545,false,false
hourly_realized_scale_24h,log_wallet_count,115,0.04406107,-0.03666260,0.04406107,false,false
hourly_realized_scale_24h,wallet_count,115,0.04406107,-0.02207948,0.04406107,false,false
delta_6h,hourly_realized_scale_24h,115,0.04333999,-0.05782542,0.04333999,false,false
hourly_realized_scale_24h,velocity_6h_per_hour,115,0.04333999,-0.05782542,0.04333999,false,false
acceleration_proxy_1h_vs_6h,max_run_share,115,0.04101687,0.14148087,0.04101687,false,false
acceleration_proxy_1h_vs_6h,cusum_proxy_24h,115,-0.03994765,-0.25395515,0.03994765,false,false
top_wallet_notional_share,vol_scaled_delta_6h,113,0.03947395,0.05479886,0.03947395,false,false
cusum_proxy_24h,log_wallet_count,115,0.03812014,-0.03695335,0.03812014,false,false
cusum_proxy_24h,wallet_count,115,0.03812014,-0.03265870,0.03812014,false,false
acceleration_proxy_1h_vs_6h,log_trade_count,115,0.03791753,-0.07597449,0.03791753,false,false
acceleration_proxy_1h_vs_6h,trade_count,115,0.03791753,0.03425117,0.03791753,false,false
acceleration_proxy_1h_vs_6h,vol_scaled_delta_6h,113,-0.03513193,0.22674644,0.03513193,false,false
delta_1h,path_roughness_24h,115,0.03428150,-0.03988096,0.03428150,false,false
delta_6h,max_run_share,115,0.03298586,0.06454325,0.03298586,false,false
max_run_share,velocity_6h_per_hour,115,0.03298586,0.06454325,0.03298586,false,false
log_total_notional,vol_scaled_delta_6h,113,0.02992078,-0.01729232,0.02992078,false,false
total_collateral_notional,vol_scaled_delta_6h,113,0.02992078,-0.00253101,0.02992078,false,false
acceleration_proxy_1h_vs_6h,delta_6h,115,-0.02779741,0.50849061,0.02779741,false,false
acceleration_proxy_1h_vs_6h,velocity_6h_per_hour,115,-0.02779741,0.50849061,0.02779741,false,false
acceleration_proxy_1h_vs_6h,log_wallet_count,115,0.02671581,-0.07501003,0.02671581,false,false
acceleration_proxy_1h_vs_6h,wallet_count,115,0.02671581,0.03754570,0.02671581,false,false
delta_24h,log_total_notional,113,-0.02641715,-0.08894542,0.02641715,false,false
delta_24h,total_collateral_notional,113,-0.02641715,-0.00257538,0.02641715,false,false
price_last,top_wallet_notional_share,115,-0.02532895,-0.03872376,0.02532895,false,false
large_trade_share_top_decile,same_side_transition_share,115,0.02416303,0.02665445,0.02416303,false,false
log_total_notional,signed_notional_imbalance,115,-0.02306524,-0.04071376,0.02306524,false,false
signed_notional_imbalance,total_collateral_notional,115,-0.02306524,0.13959844,0.02306524,false,false
delta_6h,log_total_notional,115,0.02141679,-0.08299530,0.02141679,false,false
delta_6h,total_collateral_notional,115,0.02141679,-0.01373015,0.02141679,false,false
log_total_notional,velocity_6h_per_hour,115,0.02141679,-0.08299530,0.02141679,false,false
total_collateral_notional,velocity_6h_per_hour,115,0.02141679,-0.01373015,0.02141679,false,false
delta_1h,log_wallet_count,115,-0.02140040,-0.10044288,0.02140040,false,false
delta_1h,wallet_count,115,-0.02140040,0.02598600,0.02140040,false,false
delta_1h,log_trade_count,115,-0.02048715,-0.10193151,0.02048715,false,false
delta_1h,trade_count,115,-0.02048715,0.01996978,0.02048715,false,false
same_side_transition_share,vol_scaled_delta_6h,113,-0.01860348,-0.01651977,0.01860348,false,false
delta_1h,hourly_realized_scale_24h,115,0.01789752,-0.13723522,0.01789752,false,false
acceleration_proxy_1h_vs_6h,max_hourly_jump_24h,115,-0.01659543,-0.22877624,0.01659543,false,false
