available_price_outcome_records,average_loss,average_win,buy_no,buy_yes,cost_bps,gross_loss_abs,gross_profit,hit_rate,hit_rate_wilson95,largest_gain,largest_loss,losses,max_consecutive_losses,max_consecutive_wins,max_drawdown_equal_contract_cumulative_pnl,mean_pnl_bootstrap95,mean_pnl_per_contract,mean_return_on_stake,median_pnl_per_contract,median_return_on_stake,n,p05_pnl,p05_return_on_stake,p25_pnl,p50_pnl,p75_pnl,p95_pnl,p95_return_on_stake,payoff_ratio_abs_avg_win_over_loss,profit_factor,scope,std_pnl_per_contract,threshold_no,threshold_yes,top3_losses_share_of_gross_loss,top3_losses_sum,total_pnl_per_1_contract_each,wins,zeros
49,-0.865239375,0.03759738235294117,33,5,10,3.4609575,1.2783109999999995,0.8947368421052632,"[0.7586947827711269, 0.9582974265244647]",0.244245,-0.959959,4,2,16,-3.049039,"[None, None]",-0.05743806578947369,-0.06735756796719439,0.01251349999999998,0.012685785664283994,38,-0.858632775,-1.0010000000000001,0.0015025,0.01251349999999998,0.0435445,0.10603192499999987,0.11993457506082017,0.043453156940460744,0.3693518339939163,POLYMARKET_ALL,0.2820543416743616,0.30000000000000004,0.7,0.777295733911786,-2.6901875,-2.182646500000001,34,0
49,-0.49551875,0.03973435483870967,33,5,25,3.4686312499999996,1.2317649999999998,0.8157894736842105,"[0.665811419288686, 0.9077823481477872]",0.2431125,-0.9613975,7,3,12,-3.06509375,"[None, None]",-0.05886490131578948,-0.06885756796719437,0.011033749999999978,0.011185785664283994,38,-0.8599194375,-1.0025,6.250000000000179e-06,0.011033749999999978,0.042111249999999996,0.10469231249999988,0.11843457506082017,0.08018738915270042,0.3551155805333876,POLYMARKET_ALL,0.2820252561862551,0.30000000000000004,0.7,0.7767383027527069,-2.69421875,-2.2368662499999994,31,0
49,-0.2690134615384615,0.0467977,33,5,50,3.4971749999999995,1.1699424999999999,0.6578947368421053,"[0.4989210355178308, 0.7878758482004058]",0.241225,-0.963795,13,3,6,-3.0926875000000003,"[None, None]",-0.06124296052631579,-0.07135756796719439,0.008567499999999978,0.008685785664283994,38,-0.862063875,-1.005,-0.0024874999999999997,0.008567499999999978,0.0397225,0.10245962499999989,0.11593457506082017,0.1739604394975945,0.33453930672614324,POLYMARKET_ALL,0.28197683872367446,0.30000000000000004,0.7,0.7723198009822215,-2.7009375,-2.3272324999999996,25,0
49,-0.864375,0.038558823529411757,33,5,0,3.4575,1.3109999999999995,0.8947368421052632,"[0.7586947827711269, 0.9582974265244647]",0.245,-0.959,4,2,16,-3.0390000000000006,"[None, None]",-0.05648684210526316,-0.06635756796719439,0.013499999999999979,0.013685785664283995,38,-0.857775,-1.0,0.0025,0.013499999999999979,0.0445,0.1069249999999999,0.12093457506082017,0.044608906469312225,0.37917570498915387,POLYMARKET_ALL,0.28207374658248563,0.25,0.75,0.777295733911786,-2.6875,-2.1464999999999996,34,0
49,-0.865239375,0.03759738235294117,33,5,10,3.4609575,1.2783109999999995,0.8947368421052632,"[0.7586947827711269, 0.9582974265244647]",0.244245,-0.959959,4,2,16,-3.049039,"[None, None]",-0.05743806578947369,-0.06735756796719439,0.01251349999999998,0.012685785664283994,38,-0.858632775,-1.0010000000000001,0.0015025,0.01251349999999998,0.0435445,0.10603192499999987,0.11993457506082017,0.043453156940460744,0.3693518339939163,POLYMARKET_ALL,0.2820543416743616,0.25,0.75,0.777295733911786,-2.6901875,-2.182646500000001,34,0
49,-0.49551875,0.03973435483870967,33,5,25,3.4686312499999996,1.2317649999999998,0.8157894736842105,"[0.665811419288686, 0.9077823481477872]",0.2431125,-0.9613975,7,3,12,-3.06509375,"[None, None]",-0.05886490131578948,-0.06885756796719437,0.011033749999999978,0.011185785664283994,38,-0.8599194375,-1.0025,6.250000000000179e-06,0.011033749999999978,0.042111249999999996,0.10469231249999988,0.11843457506082017,0.08018738915270042,0.3551155805333876,POLYMARKET_ALL,0.2820252561862551,0.25,0.75,0.7767383027527069,-2.69421875,-2.2368662499999994,31,0
49,-0.2690134615384615,0.0467977,33,5,50,3.4971749999999995,1.1699424999999999,0.6578947368421053,"[0.4989210355178308, 0.7878758482004058]",0.241225,-0.963795,13,3,6,-3.0926875000000003,"[None, None]",-0.06124296052631579,-0.07135756796719439,0.008567499999999978,0.008685785664283994,38,-0.862063875,-1.005,-0.0024874999999999997,0.008567499999999978,0.0397225,0.10245962499999989,0.11593457506082017,0.1739604394975945,0.33453930672614324,POLYMARKET_ALL,0.28197683872367446,0.25,0.75,0.7723198009822215,-2.7009375,-2.3272324999999996,25,0
277,-0.6144000000000001,0.31894736842105265,151,13,0,30.71999999999999,36.36000000000001,0.6951219512195121,"[0.6208677408665749, 0.7604444834770631]",0.44,-0.85,50,5,13,-5.32,"[None, None]",0.03439024390243902,0.046999345956921304,0.275,0.37937595129375956,164,-0.64,-1.0,-0.5700000000000001,0.275,0.39,0.43000000000000005,0.7543859649122807,0.5191200657894737,1.1835937500000004,FORECASTEX_EVENT_REPRESENTATIVES,0.4414985500099815,0.44999999999999996,0.55,0.07584635416666669,-2.33,5.640000000000001,114,0
277,-0.6150144000000001,0.3182663157894737,151,13,10,30.750720000000005,36.28236,0.6951219512195121,"[0.6208677408665749, 0.7604444834770631]",0.43944,-0.85085,50,5,13,-5.34632,"[None, None]",0.03372951219512194,0.045999345956921296,0.27427500000000005,0.37837595129375956,164,-0.64064,-1.0010000000000001,-0.57057,0.27427500000000005,0.38939,0.42943000000000003,0.7533859649122808,0.5174940876009955,1.1798865197302695,FORECASTEX_EVENT_REPRESENTATIVES,0.441492037343333,0.44999999999999996,0.55,0.07584635416666664,-2.33233,5.531639999999998,114,0
277,-0.615936,0.31724473684210525,151,13,25,30.796800000000008,36.1659,0.6951219512195121,"[0.6208677408665749, 0.7604444834770631]",0.4386,-0.852125,50,5,13,-5.385799999999999,"[None, None]",0.03273841463414634,0.04449934595692129,0.2731875,0.3768759512937595,164,-0.6416000000000001,-1.0025,-0.5714250000000001,0.2731875,0.388475,0.42857500000000004,0.7518859649122808,0.5150612025309532,1.1743395417705733,FORECASTEX_EVENT_REPRESENTATIVES,0.44148231591961046,0.44999999999999996,0.55,0.07584635416666664,-2.335825,5.3690999999999995,114,0
