exact_group_id,ticker,event_date,pit_timestamp,safe_cutoff_utc,pit_probability,m2_probability,market_id,event_key,token_id,source_file,join_key,signal_map_version
W4CE1-523fd1e625fb495cc483,CSCO,2026-02-11,2026-02-10T20:59:13Z,2026-02-10T21:00:00Z,0.91,0.91,1287905,CSCO|2026-02-11,109358505042997809144156487061702665368504993372965094648385077192568480026270,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-533b1d0db75bc47a8f70,TFC,2026-01-21,2026-01-20T20:59:14Z,2026-01-20T21:00:00Z,0.415,0.415,1125126,TFC|2026-01-21,16687345001768755014675618523457730350378309717295587964418571353755651555111,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-53d9019df8985c78bae9,JBLU,2025-10-28,2025-10-27T19:59:05Z,2025-10-27T20:00:00Z,0.805,0.805,643022,JBLU|2025-10-28,88828194822637052027966560372745594035631115878407114858568074589476398344252,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-5558ed2bc6448fcb67b5,DBX,2026-02-19,2026-02-18T20:59:16Z,2026-02-18T21:00:00Z,0.92,0.92,1339807,DBX|2026-02-19,263668992555056282670024750130835714587138066370471274475306614885813427388,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-569332eabadd3d62a9b6,APLD,2025-10-09,2025-10-08T19:59:05Z,2025-10-08T20:00:00Z,0.88,0.88,619984,APLD|2025-10-09,112554553237492010389712832862437088485795745543136466480942257799712028422732,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-5782cf8354be2324c12e,JNJ,2026-07-15,2026-07-14T19:59:09Z,2026-07-14T20:00:00Z,0.93,0.93,2775485,JNJ|2026-07-15,114074478607335787338196570956939326683611084978178180168221363126179286231361,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-5b863c57ecc2a5bbe5ed,VZ,2026-07-24,2026-07-23T19:59:07Z,2026-07-23T20:00:00Z,0.91,0.91,2910387,VZ|2026-07-24,52995499931359644200596369213250568148438314611418394618182665224793083500981,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-5bf85897a7b7e2624f99,CL,2025-10-31,2025-10-30T19:59:05Z,2025-10-30T20:00:00Z,0.825,0.825,648376,CL|2025-10-31,2439184327512284445461419265027827178156062575669756705909068378657320311241,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-5bfc3795e4bc2434ab3f,BUD,2025-10-30,2025-10-29T19:59:07Z,2025-10-29T20:00:00Z,0.805,0.805,647852,BUD|2025-10-30,113575107417493833473937870246720331331917847529709763283642785131794204615730,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-60dc23a49bab8895b538,MAT,2025-10-21,2025-10-20T19:59:04Z,2025-10-20T20:00:00Z,0.735,0.735,627652,MAT|2025-10-21,2911476409371278523452482974897001646987003975371510230510172588550692681199,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-6959fad591f3404c7e1c,NWSA,2025-11-06,2025-11-05T20:59:07Z,2025-11-05T21:00:00Z,0.465,0.465,657065,NWSA|2025-11-06,80942494670929100479355804680203104622524585470655169846596560575111009376064,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-69733408cef33cb75d58,WB,2026-03-18,2026-03-17T19:59:35Z,2026-03-17T20:00:00Z,0.895,0.895,1486791,WB|2026-03-18,12454248225017958993954677837152114945992305544562674329990283800435071815384,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-6a745421b1cd0038d72f,BBWI,2025-11-20,2025-11-19T20:59:07Z,2025-11-19T21:00:00Z,0.85,0.85,675540,BBWI|2025-11-20,109394427114462139409179374838376747293163308357304852094725444304375479463669,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-6b30375982534b148600,MTN,2026-06-08,2026-06-05T19:59:04Z,2026-06-05T20:00:00Z,0.22,0.22,2387793,MTN|2026-06-08,13191676662433090934922220458060042257851425371943198220970991521858465769037,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-6cafc9393595553b5f0c,WRBY,2026-02-26,2026-02-25T20:59:24Z,2026-02-25T21:00:00Z,0.38,0.38,1369646,WRBY|2026-02-26,91771303641376280941285506288487924222027123565704570823674359590762924337668,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-718856c10a1fdc7b5d31,DAL,2026-04-08,2026-04-07T19:59:56Z,2026-04-07T20:00:00Z,0.77,0.77,1735232,DAL|2026-04-08,86942345070229822178915468157930380484461808761182095834348447308916035769049,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-73bc63932ac8ab7c1660,WRBY,2026-05-07,2026-05-06T19:59:04Z,2026-05-06T20:00:00Z,0.28,0.28,2062068,WRBY|2026-05-07,95173017399385121870955474908481320417035510786108571655289501978842482298356,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
