track,stage,unit,resolved_family,n,stage_total_n,share_pct,claim_status
POLYMARKET_RECENSUS,PM1_WITHIN_VENUE_CANONICAL,venue_canonical_event,MA_REGULATORY_CLEARANCE,1,1591,0.062854,CENSUS_CAPACITY_NOT_BACKTESTABLE
POLYMARKET_RECENSUS,PM1_WITHIN_VENUE_CANONICAL,venue_canonical_event,PAYROLLS_JOBS_RELEASE,30,1591,1.885607,CENSUS_CAPACITY_NOT_BACKTESTABLE
POLYMARKET_RECENSUS,PM1_WITHIN_VENUE_CANONICAL,venue_canonical_event,PCE_RELEASE,1,1591,0.062854,CENSUS_CAPACITY_NOT_BACKTESTABLE
POLYMARKET_RECENSUS,PM1_WITHIN_VENUE_CANONICAL,venue_canonical_event,UNEMPLOYMENT_RELEASE,59,1591,3.708360,CENSUS_CAPACITY_NOT_BACKTESTABLE
OFFICIAL_TRUTH,OT1_VERIFIED_OFFICIAL_GROUPS,official_event,CPI_INFLATION_RELEASE,61,344,17.732558,TRUTH_VERIFIED_UNIVERSE
OFFICIAL_TRUTH,OT1_VERIFIED_OFFICIAL_GROUPS,official_event,FOMC_DECISION,36,344,10.465116,TRUTH_VERIFIED_UNIVERSE
OFFICIAL_TRUTH,OT1_VERIFIED_OFFICIAL_GROUPS,official_event,GDP_RELEASE,36,344,10.465116,TRUTH_VERIFIED_UNIVERSE
OFFICIAL_TRUTH,OT1_VERIFIED_OFFICIAL_GROUPS,official_event,PAYROLLS_JOBS_RELEASE,25,344,7.267442,TRUTH_VERIFIED_UNIVERSE
OFFICIAL_TRUTH,OT1_VERIFIED_OFFICIAL_GROUPS,official_event,PCE_RELEASE,22,344,6.395349,TRUTH_VERIFIED_UNIVERSE
OFFICIAL_TRUTH,OT1_VERIFIED_OFFICIAL_GROUPS,official_event,RETAIL_SALES_RELEASE,17,344,4.941860,TRUTH_VERIFIED_UNIVERSE
OFFICIAL_TRUTH,OT1_VERIFIED_OFFICIAL_GROUPS,official_event,UNEMPLOYMENT_RELEASE,147,344,42.732558,TRUTH_VERIFIED_UNIVERSE
