market_id,event_key,ticker,company_event_date,metric,contract_operator,contract_threshold_eps,official_eps_actual,validation_status,official_source_accession,reconstructed_outcome_label,polymarket_primary_label,matches_primary
697446,CRM|2025-12-03,CRM,2025-12-03,non_gaap_eps,>,2.86,3.25,VALIDATED_OFFICIAL,0001108524-25-000234,1,1,true
1125126,TFC|2026-01-21,TFC,2026-01-21,non_gaap_eps,>,1.1,1.12,VALIDATED_DERIVED_OFFICIAL_RECONCILIATION,0000092230-26-000023,1,1,true
1139951,MKC|2026-01-22,MKC,2026-01-22,non_gaap_eps,>,0.88,0.86,VALIDATED_OFFICIAL,0000063754-26-000035,0,0,true
1244920,IBM|2026-01-28,IBM,2026-01-28,non_gaap_eps,>,4.29,4.52,VALIDATED_OFFICIAL,0000051143-26-000004,1,1,true
1244935,V|2026-01-29,V,2026-01-29,non_gaap_eps,>,3.14,3.17,VALIDATED_OFFICIAL,0001403161-26-000044,1,1,true
1238099,QCOM|2026-02-04,QCOM,2026-02-04,non_gaap_eps,>,3.39,3.5,VALIDATED_OFFICIAL,0000804328-26-000016,1,1,true
1321183,KKR|2026-02-05,KKR,2026-02-05,non_gaap_eps,>,1.14,1.12,VALIDATED_OFFICIAL,0001404912-26-000002,0,0,true
1321400,CHGG|2026-02-09,CHGG,2026-02-09,non_gaap_eps,>,-0.1,-0.01,VALIDATED_OFFICIAL,0001364954-26-000009,1,1,true
1287905,CSCO|2026-02-11,CSCO,2026-02-11,non_gaap_eps,>,1.02,1.04,VALIDATED_OFFICIAL,0000858877-26-000006,1,1,true
1293041,PAG|2026-02-11,PAG,2026-02-11,gaap_eps,>,3.02,2.83,VALIDATED_OFFICIAL,0001628280-26-007173,0,0,true
1367585,EBAY|2026-02-18,EBAY,2026-02-18,non_gaap_eps,>,1.35,1.41,VALIDATED_OFFICIAL,0001065088-26-000017,1,1,true
1339807,DBX|2026-02-19,DBX,2026-02-19,non_gaap_eps,>,0.67,0.68,VALIDATED_OFFICIAL,0001467623-26-000003,1,1,true
1369645,RKLB|2026-02-26,RKLB,2026-02-26,gaap_eps,>,-0.1,-0.09,VALIDATED_OFFICIAL,0001819994-26-000012,1,1,true
1369670,SHAK|2026-02-26,SHAK,2026-02-26,non_gaap_eps,>,0.35,0.37,VALIDATED_OFFICIAL,0001620533-26-000013,1,1,true
1369646,WRBY|2026-02-26,WRBY,2026-02-26,gaap_eps,>,0.02,-0.05,VALIDATED_OFFICIAL,0001504776-26-000003,0,0,true
1486791,WB|2026-03-18,WB,2026-03-18,non_gaap_eps,>,0.32,0.25,VALIDATED_OFFICIAL,0001104659-26-029771,0,0,true
1735232,DAL|2026-04-08,DAL,2026-04-08,non_gaap_eps,>,0.63,0.64,VALIDATED_OFFICIAL,0000027904-26-000020,1,1,true
1891432,USB|2026-04-16,USB,2026-04-16,gaap_eps,>,1.14,1.18,VALIDATED_OFFICIAL,0000036104-26-000021,1,1,true
1937066,AXP|2026-04-23,AXP,2026-04-23,gaap_eps,>,3.99,4.28,VALIDATED_OFFICIAL,0000004962-26-000188,1,1,true
2003520,DPZ|2026-04-27,DPZ,2026-04-27,gaap_eps,>,4.28,4.13,VALIDATED_OFFICIAL,0001286681-26-000024,0,0,true
1986797,KO|2026-04-28,KO,2026-04-28,non_gaap_eps,>,0.81,0.86,VALIDATED_OFFICIAL,0001628280-26-027723,1,1,true
2003538,EBAY|2026-04-29,EBAY,2026-04-29,non_gaap_eps,>,1.58,1.66,VALIDATED_OFFICIAL,0001065088-26-000092,1,1,true
1921506,GD|2026-04-29,GD,2026-04-29,gaap_eps,>,3.67,4.1,VALIDATED_OFFICIAL,0000040533-26-000010,1,1,true
2039914,EL|2026-05-01,EL,2026-05-01,non_gaap_eps,>,0.65,0.91,VALIDATED_OFFICIAL,0001001250-26-000017,1,1,true
2039915,GRAB|2026-05-04,GRAB,2026-05-04,gaap_eps,>,0.02,-0.01,VALIDATED_OFFICIAL,0001855612-26-000077,0,0,true
2039918,HESM|2026-05-04,HESM,2026-05-04,gaap_eps,>,0.65,0.68,VALIDATED_OFFICIAL,0001193125-26-202613,1,1,true
