company_event_date,prior_events,m2cal_theta,core_theta,mp_theta
2026-05-07,94,"[0.23921442692253497,0.7693019711343723]","[-0.11181917691492302,1.0303989666082394,0.03183839388868853,-0.1807492144526033,-0.5114605534924671,-0.2607183143200503,0.38005040107461147,0.03496849513272394]","[-0.25265524585123933,1.1276995131086953,0.1124187040434222,-0.20196800993787636,-0.6403233631628586,-0.2745776357677624,0.42718473472908075,0.16778000365895415,-0.5655133585903102]"
2026-05-11,96,"[0.26143294746725965,0.7579132249235075]","[0.1184114189189048,0.9161807647273491,0.058976689096262386,-0.19689934275790125,-0.26583963803984545,-0.3519343300322471,0.23972981092762338,0.0240219659098316]","[-0.017762027196591916,1.0029207442960864,0.16886406025282097,-0.23191812318740937,-0.44841001887207266,-0.3413607525247238,0.32854436337308374,0.17689274034438257,-0.6042133356680882]"
2026-05-12,97,"[0.2931795162786509,0.7479010511633383]","[0.16714935510688037,0.8978430883638113,0.06312037894276235,-0.20859759746796863,-0.25135783550363017,-0.3606969953613407,0.25161901559781735,0.035585013608875345]","[0.026195676239321335,0.9928111046449861,0.1742288024765057,-0.25121803505802726,-0.44214310083770053,-0.34783835519669687,0.34150220055493763,0.19152007266442908,-0.6192774707157334]"
2026-05-13,98,"[0.2974867450176318,0.7552992473904124]","[0.18307325117147194,0.8965819550348474,0.0666019377636296,-0.2020125103250673,-0.24502551079048937,-0.36032510449594213,0.28699999414796096,0.037184963339224004]","[0.04399241451002525,0.9921409089354342,0.1798264678517632,-0.24756043822319715,-0.44338669559169447,-0.34726263000313484,0.36610363603888024,0.1918103281214968,-0.6434254888350105]"
2026-05-14,99,"[0.29473334141562524,0.7615494708205295]","[0.15854723408662547,0.9150864850253189,0.06746326751000348,-0.19931012250491892,-0.2557606888710849,-0.33573835043884426,0.28182051267737196,0.03910250375504866]","[0.02454651229517212,1.006788713216904,0.18429756962869948,-0.2441625463925398,-0.45592949616848294,-0.3318952148842866,0.36032209837713847,0.19386597725934754,-0.6441914567301856]"
2026-05-20,100,"[0.29279523313224376,0.7694116541017403]","[0.15601670310033022,0.9230139066271797,0.06361507454011568,-0.1969071091595632,-0.25936187297706215,-0.33860373829828855,0.2969979378891911,0.034003095466397903]","[0.023541234333061007,1.0098066753987602,0.1791632558847019,-0.24168564024880662,-0.45701325658621544,-0.3335485351500113,0.37702923532366983,0.19199038610595662,-0.6634094721558806]"
2026-05-21,101,"[0.29260189500969175,0.7775020125833524]","[0.16369848958358144,0.9258911739373975,0.05556757292559646,-0.19291358189030855,-0.25584930408619383,-0.3358030932607288,0.31947225833834697,0.03352847714693239]","[0.03179702733431206,1.0120416604410938,0.17377492429727476,-0.23996526048382505,-0.45939951305453397,-0.33458075963745904,0.3939739257386338,0.19279803851223856,-0.6540764033944093]"
2026-06-02,102,"[0.29213011877134676,0.7854174892814275]","[0.17193276772965607,0.9351357279296296,0.05238901999790918,-0.18570832778258808,-0.2683138177202942,-0.3336228596439917,0.32689674047949036,0.032130869950829075]","[0.03795688923687166,1.028856200691729,0.16135437837953806,-0.22900754413645022,-0.47879861516327005,-0.3346155111582318,0.40429381074385196,0.18827288320043514,-0.6487176263146757]"
2026-06-04,103,"[0.29028404732350827,0.7926778218216123]","[0.17160535589555642,0.9405703459118366,0.051385267466545856,-0.17838668045158443,-0.2716526405389164,-0.33271802404297224,0.33402829731791106,0.03621015368143134]","[0.041045109199231836,1.0335828976699688,0.15913039475467294,-0.22178108477174197,-0.4814855595115487,-0.33376075700709995,0.4116962261936244,0.19103780761936434,-0.6447985054335653]"
2026-06-08,105,"[0.2871380705335024,0.8069256048062241]","[0.16195629254317268,0.9519684931046563,0.04635005111163523,-0.16437227594232554,-0.26794500026875734,-0.33242353406329794,0.3441715560364123,0.03402442368572366]","[0.03416198969165171,1.036797473783988,0.15356798336151523,-0.20685414966782095,-0.4800444391253562,-0.33270064797023274,0.422453047912312,0.1888143462350818,-0.6630855012455054]"
2026-06-10,106,"[0.23876309384704697,0.8399842730613033]","[0.15207130681853795,0.9655045202721432,0.046503679890145734,-0.18708113830500786,-0.2684981041789314,-0.36079610665711415,0.33868918113407614,0.02317622360292435]","[0.029313596133114298,1.0514845573534612,0.1517590215514001,-0.2362037766136233,-0.47781014405310135,-0.3647512352441443,0.41561233650023055,0.17917587655260697,-0.6630680906302558]"
2026-07-09,107,"[0.1910275493886603,0.8473629525018843]","[0.18800061241759758,0.9632755747509046,0.010686478083890089,-0.2096041950217768,-0.1890567935189149,-0.4290726172692952,0.32123439930199066,-0.03773107666678982]","[0.11324233195280628,1.0298713901731493,0.08131892872800725,-0.26729387768004087,-0.3004855017860937,-0.4765674010318413,0.36344912895526854,0.05247033444767585,-0.5607762201583338]"
2026-07-14,108,"[0.19376148558653805,0.785828054850614]","[0.18170365000328706,0.893315112681709,0.030955499126992886,-0.20836941307548712,-0.1919145174006245,-0.42053604807976364,0.2936933647505146,-0.003457194440693641]","[0.12619429609345953,0.9321037248038784,0.08285338770323583,-0.24898329752996348,-0.27620880803877434,-0.4525922576488297,0.31972957765927856,0.06651475027271496,-0.42238331337372337]"
2026-07-15,109,"[0.19290869540421796,0.7930729799150235]","[0.1820029092354985,0.9004312392453706,0.028917316204318887,-0.20907216824277178,-0.18428169059846658,-0.41023070423840663,0.3076551316324269,-0.0161494978629133]","[0.1268496569319897,0.9381737995908114,0.08345010738274226,-0.2508104660365159,-0.2729937381009827,-0.4500676845553972,0.33200210788879375,0.059662024593405166,-0.4294003243652978]"
2026-07-21,111,"[0.19822124803518626,0.805272638595947]","[0.23772231735252783,0.9085031061324772,0.022780979772180562,-0.19426880518934606,-0.17610005796258954,-0.4002106574931707,0.3572864938757564,-0.019061604537311858]","[0.18817232311038362,0.9437053313371565,0.08301913999084277,-0.23667481139195037,-0.27044338287217795,-0.44536928113283414,0.3716854195266984,0.05904237460739684,-0.4879732397246933]"
2026-07-23,112,"[0.20001131166451655,0.8119756799194663]","[0.20211813583427463,0.9142336961203633,0.03137187590209502,-0.20653508106681065,-0.1740792489160129,-0.40622595772969583,0.3456196781945116,0.005046664237187581]","[0.14997838120976523,0.9495955191844365,0.09302868326698385,-0.2545744248826296,-0.2703985429343192,-0.4519587953881766,0.3617033692806103,0.08059958558443356,-0.48916429200876643]"
2026-07-24,113,"[0.20111445607375641,0.8187143147551939]","[0.24340258623591496,0.9181927545108975,0.027737863496220087,-0.20633686448393182,-0.17516925525553753,-0.4084901893942885,0.35892858531470617,0.003936929586521358]","[0.19197456114930297,0.9540260771584902,0.08971030177656578,-0.25465684046087206,-0.2718501928906456,-0.4544856196115216,0.3750454049248455,0.07929078567445494,-0.47966205235683396]"
2026-07-28,114,"[0.2010230711518778,0.8254468163378892]","[0.22939721802502938,0.9219804385541093,0.027622607958948123,-0.20663012158294367,-0.15820098778633016,-0.3700139735118336,0.3684045803413639,0.01040216144079925]","[0.1705764278594335,0.9581442990948963,0.08746640407298076,-0.25215409163336777,-0.24752586808192084,-0.40206810758522415,0.3875598628342204,0.08396538778918915,-0.45194248639137313]"
