market_id,event_key,ticker,safe_cutoff_utc,gamma_start_utc,structurally_unavailable,yes_rows,no_rows,yes_raw_points,no_raw_points,yes_chunks,no_chunks,yes_boundary_duplicates,no_boundary_duplicates,yes_conflicting_duplicates,no_conflicting_duplicates,yes_bad_rows,no_bad_rows,yes_last_age_min,no_last_age_min,yes_first_delay_min,yes_median_gap_min,yes_p95_gap_min,yes_max_gap_min,yes_unique_prices,yes_status,no_status
637870,DOW|2025-10-23,DOW,2025-10-22T20:00:00Z,2025-10-16T22:31:11.505154Z,False,8474,8474,8474,8474,2,2,0,0,0,0,0,0,0.9166666666666666,0.9,14.883333333333333,1.0,1.1333333333333333,1.6833333333333333,58,OK,OK
637876,HAS|2025-10-23,HAS,2025-10-22T20:00:00Z,2025-10-16T22:38:27.50247Z,False,8466,8466,8466,8466,2,2,0,0,0,0,0,0,0.9333333333333333,0.9,15.616666666666667,1.0,1.1333333333333333,1.6666666666666667,32,OK,OK
643022,JBLU|2025-10-28,JBLU,2025-10-27T20:00:00Z,2025-10-21T21:49:33.107Z,False,8515,8515,8515,8515,2,2,0,0,0,0,0,0,0.9166666666666666,0.9,15.55,1.0,1.1666666666666667,2.0833333333333335,42,OK,OK
647505,BA|2025-10-29,BA,2025-10-28T20:00:00Z,2025-10-23T21:45:32.629Z,False,7079,7079,7079,7079,1,1,0,0,0,0,0,0,0.9,0.9333333333333333,15.583333333333334,1.0,1.1666666666666667,2.1,66,OK,OK
647818,KHC|2025-10-29,KHC,2025-10-28T20:00:00Z,2025-10-24T11:27:39.188Z,False,6257,6257,6257,6257,1,1,0,0,0,0,0,0,0.9333333333333333,0.9,15.416666666666666,1.0,1.05,1.95,48,OK,OK
643045,SBUX|2025-10-29,SBUX,2025-10-28T20:00:00Z,2025-10-21T22:11:55.357Z,False,9933,9933,9933,9933,2,2,0,0,0,0,0,0,0.8833333333333333,0.9333333333333333,15.166666666666666,1.0,1.1833333333333333,2.1333333333333333,76,OK,OK
642124,TDOC|2025-10-29,TDOC,2025-10-28T20:00:00Z,2025-10-21T00:30:25.474Z,False,11234,11234,11234,11234,2,2,0,0,0,0,0,0,0.8833333333333333,0.9,15.633333333333333,1.0,1.1666666666666667,2.1166666666666667,93,OK,OK
647852,BUD|2025-10-30,BUD,2025-10-29T20:00:00Z,2025-10-24T12:52:36.758Z,False,7410,7410,7410,7410,2,2,0,0,0,0,0,0,0.8833333333333333,0.9,15.516666666666667,1.0,1.25,163.11666666666667,57,OK,OK
648376,CL|2025-10-31,CL,2025-10-30T20:00:00Z,2025-10-24T17:31:18.051Z,False,8572,8572,8572,8572,2,2,0,0,0,0,0,0,0.9166666666666666,0.8833333333333333,14.783333333333333,1.0,1.1333333333333333,125.2,63,OK,OK
657445,AMD|2025-11-04,AMD,2025-11-03T21:00:00Z,2025-10-30T21:54:18.424Z,False,5691,5691,5691,5691,1,1,0,0,0,0,0,0,0.9333333333333333,0.9,14.766666666666667,1.0,1.0166666666666666,1.7166666666666666,217,OK,OK
637875,HOG|2025-11-04,HOG,2025-11-03T21:00:00Z,2025-10-16T22:36:46.961Z,False,25606,25606,25606,25606,4,4,0,0,0,0,0,0,0.9,0.9,15.3,1.0,1.15,131.61666666666667,87,OK,OK
656808,FIG|2025-11-05,FIG,2025-11-04T21:00:00Z,2025-10-30T14:55:14.805Z,False,7550,7550,7550,7550,2,2,0,0,0,0,0,0,0.9,0.9166666666666666,14.883333333333333,1.0,1.0833333333333333,1.7333333333333334,64,OK,OK
655443,MET|2025-11-05,MET,2025-11-04T21:00:00Z,2025-10-29T16:28:26.153Z,False,8896,8896,8896,8896,2,2,0,0,0,0,0,0,0.9,0.8833333333333333,15.666666666666666,1.0,1.1166666666666667,1.7333333333333334,58,OK,OK
656785,SONO|2025-11-05,SONO,2025-11-04T21:00:00Z,2025-10-30T14:14:57.22Z,False,7590,7590,7590,7590,2,2,0,0,0,0,0,0,0.9333333333333333,0.9166666666666666,15.133333333333333,1.0,1.0166666666666666,1.7166666666666666,53,OK,OK
657080,DBX|2025-11-06,DBX,2025-11-05T21:00:00Z,2025-10-30T18:32:38.894Z,False,8772,8772,8772,8772,2,2,0,0,0,0,0,0,0.9166666666666666,0.9166666666666666,15.466666666666667,1.0,1.0833333333333333,1.9166666666666667,26,OK,OK
657007,EXPE|2025-11-06,EXPE,2025-11-05T21:00:00Z,2025-10-30T16:27:36.963Z,False,8897,8897,8897,8897,2,2,0,0,0,0,0,0,0.8833333333333333,0.9,15.516666666666667,1.0,1.1333333333333333,1.9333333333333333,27,OK,OK
657079,MRNA|2025-11-06,MRNA,2025-11-05T21:00:00Z,2025-10-30T18:29:36.714Z,False,8775,8775,8775,8775,2,2,0,0,0,0,0,0,0.9166666666666666,0.9333333333333333,15.5,1.0,1.05,1.9333333333333333,46,OK,OK
657065,NWSA|2025-11-06,NWSA,2025-11-05T21:00:00Z,2025-10-30T18:15:38.358Z,False,8789,8789,8789,8789,2,2,0,0,0,0,0,0,0.8833333333333333,0.9333333333333333,15.466666666666667,1.0,1.1166666666666667,1.9333333333333333,37,OK,OK
658498,SG|2025-11-06,SG,2025-11-05T21:00:00Z,2025-10-31T18:52:29.63Z,False,7312,7312,7312,7312,2,2,0,0,0,0,0,0,0.8833333333333333,0.9,15.633333333333333,1.0,1.1333333333333333,1.9333333333333333,49,OK,OK
658487,UAA|2025-11-06,UAA,2025-11-05T21:00:00Z,2025-10-31T18:24:29.823Z,False,7340,7340,7340,7340,2,2,0,0,0,0,0,0,0.9,0.9,15.633333333333333,1.0,1.1,1.9333333333333333,23,OK,OK
668460,CRCL|2025-11-12,CRCL,2025-11-11T21:00:00Z,2025-11-06T21:52:11.684Z,False,7133,7133,7133,7133,2,2,0,0,0,0,0,0,0.9166666666666666,0.8833333333333333,14.883333333333333,1.0,1.05,1.9333333333333333,55,OK,OK
668512,GAMB|2025-11-13,GAMB,2025-11-12T21:00:00Z,2025-11-06T22:05:11.616Z,False,8560,8560,8560,8560,2,2,0,0,0,0,0,0,0.9166666666666666,0.8833333333333333,14.916666666666666,1.0,1.1333333333333333,1.9333333333333333,38,OK,OK
675008,ACM|2025-11-18,ACM,2025-11-17T21:00:00Z,2025-11-10T20:14:02.053Z,False,10111,10111,10111,10111,2,2,0,0,0,0,0,0,0.9166666666666666,0.9,15.033333333333333,1.0,1.2,2.0,34,OK,OK
675497,POWL|2025-11-18,POWL,2025-11-17T21:00:00Z,2025-11-11T00:01:25.94Z,False,9883,9883,9883,9883,2,2,0,0,0,0,0,0,0.9,0.9166666666666666,15.7,1.0,1.2,1.9833333333333334,25,OK,OK
675504,NVDA|2025-11-19,NVDA,2025-11-18T21:00:00Z,2025-11-10T23:38:04.249Z,False,11343,11343,11343,11343,2,2,0,0,0,0,0,0,0.8666666666666667,0.8833333333333333,15.033333333333333,1.0,1.2,5.583333333333333,34,OK,OK
675507,TGT|2025-11-19,TGT,2025-11-18T21:00:00Z,2025-11-11T00:07:03.890402Z,False,11314,11314,11314,11314,2,2,0,0,0,0,0,0,0.9,0.9,15.033333333333333,1.0,1.1833333333333333,5.583333333333333,66,OK,OK
675540,BBWI|2025-11-20,BBWI,2025-11-19T21:00:00Z,2025-11-11T00:16:44.523Z,False,12744,12744,12744,12744,2,2,0,0,0,0,0,0,0.8833333333333333,0.8833333333333333,15.383333333333333,1.0,1.2166666666666666,5.566666666666666,74,OK,OK
696263,UNFI|2025-12-02,UNFI,2025-12-01T21:00:00Z,2025-11-22T00:14:29.265Z,False,14190,14190,14190,14190,2,2,0,0,0,0,0,0,0.8666666666666667,0.8833333333333333,15.733333333333333,1.0,1.2166666666666666,1.95,31,OK,OK
697446,CRM|2025-12-03,CRM,2025-12-02T21:00:00Z,2025-11-22T20:21:32.867Z,False,14424,14424,14424,14424,3,3,0,0,0,0,0,0,0.85,0.8833333333333333,14.866666666666667,1.0,1.25,1.95,27,OK,OK
697463,DG|2025-12-04,DG,2025-12-03T21:00:00Z,2025-11-22T20:33:12.742Z,False,15852,15852,15852,15852,3,3,0,0,0,0,0,0,0.8833333333333333,0.8833333333333333,14.9,1.0,1.1666666666666667,2.033333333333333,66,OK,OK
701955,CASY|2025-12-09,CASY,2025-12-08T21:00:00Z,2025-11-24T23:29:54.55Z,False,19995,19995,19995,19995,3,3,0,0,0,0,0,0,0.8666666666666667,0.8833333333333333,15.25,1.0,1.2333333333333334,2.183333333333333,54,OK,OK
1125126,TFC|2026-01-21,TFC,2026-01-20T21:00:00Z,2026-01-07T00:45:01.77Z,False,19919,19919,19919,19919,3,3,0,0,0,0,0,0,0.7666666666666667,0.8,15.283333333333333,1.0,1.25,2.9,71,OK,OK
